Series Name,Series Code,Country Name,Country Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
GDP (current US$),NY.GDP.MKTP.CD,South Asia (IDA & IBRD),TSA,235543383601.461,250076708191.894,258727224080.527,273881790993.843,272607073140.901,296435460430.099,313955151400.119,348601867655.974,374584211824.024,378016943211.803,406963354249.841,362063214739.186,384521577066.971,380890164437.893,432085555561.06,479585498256.836,524681300053.179,550408821354.512,558117074309.657,597995276003.899,647681666329.099,662513570031.796,695456014025.075,811668772003.7,941600860447.855,1075831387110.75,1220740366779.5,1536036848197.11,1559693610850.8,1702714960004.27,2082393224243.39,2294130226834.82,2327972502889.9,2389925602766.97,2614947275467.62,2733651859001.15,3011071812937.53,3433921311742.89,3534066859804.7
GDP (current US$),NY.GDP.MKTP.CD,Sub-Saharan Africa,SSF,299156861232.472,404311362942.53,376182335241.855,337782415705.058,301829555919.123,288161913898.376,270024419654.379,302358754143.882,318213399666.485,323805308033.055,379311825675.495,405375420644.432,365094470300.31,369117626218.33,377662803286.63,480483604759.225,536641887730.234,564644820351.763,565924901411.992,404065822504.732,428340828932.008,410381410917.65,446810537330.99,562596341824.35,698496039334.091,828850789134.691,977634560614.339,1131743844061.68,1282823777661.01,1225403057803.24,1449562327175.87,1629327277658.53,1692936639108.22,1799332280879.88,1876123974059.89,1670044721688.17,1523303785527.21,1660848124029.88,1782800988574.01
GDP (current US$),NY.GDP.MKTP.CD,Sub-Saharan Africa (excluding high income),SSA,299002551230.714,404152048958.096,376029141290.58,337629586006.681,301670995147.514,287983954210.595,269803697043.712,302093617110.89,317910974656.939,323480140542.09,378918407182.619,404976244762.861,364630958999.813,368610836181.138,377142595380.707,479940870989.033,536105193364.824,564043922095.904,565275137841.769,403398906054.615,427682851353.883,409715333350.834,446063787652.055,561841797160.448,697598887827.385,827868919145.79,976549264667.751,1130664082678.21,1281844180266.72,1224552156182.8,1448580710633.54,1628268358951.27,1691847231269.02,1797999120472.5,1874736396189.81,1668612318336.04,1521735272179.07,1659172753388.87,1781016674647.24
GDP (current US$),NY.GDP.MKTP.CD,Sub-Saharan Africa (IDA & IBRD countries),TSS,299156861232.473,404311362942.53,376182335241.856,337782415705.058,301829555919.123,288161913898.376,270024419654.379,302358754143.882,318213399666.485,323805308033.055,379311825675.495,405375420644.432,365094470300.31,369117626218.33,377662803286.63,480483604759.225,536641887730.234,564644820351.763,565924901411.992,404065822504.732,428340828932.008,410381410917.65,446810537330.99,562596341824.35,698496039334.091,828850789134.691,977634560614.339,1131743844061.68,1282823777661.01,1225403057803.24,1449562327175.87,1629327277658.53,1692936639108.22,1799332280879.88,1876123974059.89,1670044721688.17,1523303785527.21,1660848124029.88,1782800988574.01
GDP (current US$),NY.GDP.MKTP.CD,Upper middle income,UMC,1477563776050.56,1594146125937.72,1565614758904.81,1532203241864.5,1618911538377.65,1669917653507.22,1714812333436.2,1731745201803.52,1870691833201.56,2071001497026.29,2492583798305.06,2345110312251.57,2507023777705.9,2763258230655.2,3111484692777.31,3535669951727.07,3910793518612.33,4163330637079.05,4110157937353.24,4001279700314.12,4372777700546.36,4374920051441.4,4406965160468,4911775371854.07,5793585386943.71,6887070884966.93,8120998060294.65,9981041619200.59,12063430678769.3,11970458987155.9,14632242576517.1,17501017014718,18676741238950.3,19843459094694.3,20594317216179.5,19830615812257.5,19907655431181.7,21841603589645.9,23375867162686.5
GDP (current US$),NY.GDP.MKTP.CD,World,WLD,11449695442678,11839946290807,11716617789328.5,11960039294489.3,12424879538978.7,13013695543914.6,15344248521526.3,17466868979760.8,19517437502346.6,20386716203505.2,22987402273855.3,23911650750982.3,25534209067457.6,25958546729023.5,27941899637871.3,31149677985790.3,31866900968539.2,31760810644454.6,31702676349248.1,32747088959180.2,33855853033266.6,33646060924936.8,34940171807391.6,39181755907935.4,44151098975078,47811684840222.7,51815358465522.1,58389218140008.6,64152276357316.9,60814498796339,66609708734786.2,74080837776246.3,75705854038889.1,77873446166547,80020337644636.2,75472473882835.1,76702553625899.1,81712043350515.4,86884839554431.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/16/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
